Item,length,color,Type,Price,STOCK
2N1,,1,2,5.5,45
2N1,,001B,2,5.5,38
2N1,,2,2,5.5,49
2N1,,3,2,5.5,116
2N1 CLP,,P1B_27,2,5.25,170
2N1 CLP,,P1B_30,2,5.25,276
2N1 CLP,,P1B_33,2,5.25,149
2N1 CLP,,P1B_350,2,5.25,233
2N1 CLP,,P1B_BG,2,5.25,190
2N1 CLP,,P27_613,2,5.25,41
2N1 CLP,,P30_144,2,5.25,228
2N1 CLP,,P30_350,2,5.25,183
2N1 CLP,,T4_27,2,5.25,14
2N1 HH,,1,6,30,16
2N1 HH,,001B,6,30,20
2N1 HH,,2,6,30,11
2N1 HH,,4,6,30,0
2N1 HH,,P1B_27,6,30,0
2N1 HH,,P1B_30,6,30,0
2N1 HH,,P1B_33,6,30,0
2N1 HH,,P1B_350,6,30,0
2N1 HH,,P1B_BG,6,30,0
2N1 HH,,P27_613,6,30,0
2N1 L,,1,2,6,98
2N1 L,,001B,2,6,69
2N1 L,,2,2,6,99
2N1 L (H),,1,6,40,4
2N1 L (H),,001B,6,40,8
2N1 L (H),,2,6,40,1
2N1 L (H),,4,6,40,0
2N1 L (H),,P1B_27,6,40,0
2N1 L (H),,P1B_30,6,40,10
2N1 L (H),,P1B_33,6,40,3
2N1 L (H),,P1B_350,6,40,5
2N1 L (H),,P1B_BG,6,40,2
2N1 L (H),,P27_613,6,40,1
2N1 L (H),,P4_27,6,40,0
2N1 L (H),,P4_30,6,40,0
