ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK
test,,2,,100,100
shop_ab,,4,Inch,100,80
ESTHER,,TT1B-BG,,100,54
ESTHER1,,TT1B-BG,,100,54
ESTHER1,,1,,100,54
ESTHER1,,2,,100,54
ESTHER1,,3,,100,100
ESTHER1,,4,,100,100
ESTHER1,,5,,100,100
ESTHER1,,6,,100,100
ESTHER120,,8,,100,80
ESTHER123,,7,,100,80
ESTHER115,,2,,100,30
ESTHER115,,2,,100,30
ESTHER115,,2,,100,30
ESTHER118,,TT1B-BG,,100,18
ESTHER1111,,TT1B-BG,,100,25
ESTHER1111,,TT1B-BG,,100,25
ESTHER1111,,TT1B-BG,,100,25
ESTHER1111,,TT1B-BG,,100,25
ESTHER1111,,TT1B-BG,,100,25
ESTHER1111,,TT1B-BG,,100,25
ESTHER1111,,TT1B-BG,,100,25
