PRODUCT_CODE,USER_ID,SUPPLIER_CODE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY,PRODUCT_NAME,IMAGES,HAIR_TYPE,HAIR_TYPE_LENGTH,HAIR_TYPE_STYLE,QUANTITY,QUANTITY_TYPE,MANUFACTURE_PRICE,WHOLESALE_PRICE,MSRP_PRICE,DISCOUNT_OPTION_CHECK,DISCOUNT_OPTION_VALUE,SPECIAL_PROMOTION_CHECK,SPECIAL_PROMOTION_VALUE,DELIVERY_TIME,DROPSHIP,SHIPPING_METHOD,SHIPPING_PRICE,PLACE_ORIGIN,PACKAGE_WEIGHT,PACKAGE_UNIT,DESCRIPTION,PRODUCT_SEEN,SKU,LENGTH,COLOR,PRICE,STOCK,LENGTH_SIZE,MIN_QUANTITY
test111,42,test_test@gmail.com,BEAUTY,Skin Care,,test,"1435123087images (1).jpg ,670px-Draw-Shampoo-Step-1.jpg","human hair,synthetic hair,remy hair,human hair blant",long,"bob cut,layered cut,loose body cut,loose deep cut,small wave,sprial curl,straight",200,Pieces,10,10,15,0,,0,,7-14 Business Days,Yes,SINA SHIPPING,2,USA,50,g,tetsttst1<br>,18,test,,2,100,100,,1
shop_1,42,test_test@gmail.com,HAIR PIECE ,Dome/Bun,,shop_ab,1438234109christmas-shopping-wallpapers_16324_1680x1050.jpg ,synthetic hair,long,loose body cut,1,Pieces,150,170,190,0,,0,,7-14 Business Days,Yes,SINA SHIPPING,5,India,100,g,"<p>test</p>
",11,shop_ab,,4,100,80,Inch,1
ESTHER11,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER,"670px-Draw-Shampoo-Step-1.jpg,images (1).jpg",,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,15,ESTHER,,TT1B-BG,100,54,,1
ESTHER113,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER1,images (1).jpg,,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17,ESTHER1,,TT1B-BG,100,54,,1
ESTHER113,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER1,images (1).jpg,,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17, ESTHER1,,1,100,54,,1
ESTHER113,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER1,images (1).jpg,,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17, ESTHER1,,2,100,54,,1
ESTHER113,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER1,images (1).jpg,,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17, ESTHER1,,3,100,100,,1
ESTHER113,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER1,images (1).jpg,,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17, ESTHER1,,4,100,100,,1
ESTHER113,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER1,images (1).jpg,,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17, ESTHER1,,5,100,100,,1
ESTHER113,42,test_test@gmail.com,WIG,Human Hair Wigs,,ESTHER1,images (1).jpg,,long,,100,Pieces,58,58,174,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,tetdg,17, ESTHER1,,6,100,100,,1
