PRODUCT_CODE,USER_ID,SUPPLIER_CODE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY,PRODUCT_NAME,IMAGES,HAIR_TYPE,HAIR_TYPE_LENGTH,HAIR_TYPE_STYLE,QUANTITY,QUANTITY_TYPE,MANUFACTURE_PRICE,WHOLESALE_PRICE,MSRP_PRICE,DISCOUNT_OPTION_CHECK,DISCOUNT_OPTION_VALUE,SPECIAL_PROMOTION_CHECK,SPECIAL_PROMOTION_VALUE,DELIVERY_TIME,DROPSHIP,SHIPPING_METHOD,SHIPPING_PRICE,PLACE_ORIGIN,PACKAGE_WEIGHT,PACKAGE_UNIT,DESCRIPTION,PRODUCT_SEEN,SKU,LENGTH,COLOR,PRICE,STOCK,LENGTH_SIZE,MIN_QUANTITY
AARU,12,jane@sinahair.com,WIG,Human Hair Wigs,,AARU,"1434570357aaru.jpg ,1434570357aaru_b.jpg ,1434570357aaru_f.jpg ,1434570357aaru_s.jpg ",,,,100,Pieces,20,20,60,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<div style=""text-align: left;""><b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Human Hair Wig Aaru</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">High Quality 100% Remy Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Hair That. Moves. With You.</b><br style=""margin: 0px; padding: 0px;"">The Debut Indian Remy Wig Collection is a high quality collection of human hair wigs. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectably natural look that is smooth and manageable. The Remy process also brings tangling, matting, and shedding to a bare minimum.</p></li></div>",14,AARU,,1,20,176,,1
BARBARA,12,jane@sinahair.com,WIG,Human Hair Wigs,,BARBARA,1434570870barbara.jpg ,,,,85,Pieces,21,21,63,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Human Hair Wig Barbara</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">100% Human Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Real. Style. And Luxury.</b><br style=""margin: 0px; padding: 0px;"">These wigs capture the essentials that are necessary to achieve a seem-less and natural look. It is a look and feel to call your own. Silhouette offers many different styles, textures and colors to quench all varying tastes and style preferences.</p></li>",180,BARBARA,,TTL1B_33,33,63,207627,1
BARU,12,jane@sinahair.com,WIG,Human Hair Wigs,,BARU,"1434571275baru.jpg ,1434571275baru_b.jpg ,1434571275baru_f.jpg ,1434571275baru_s.jpg ",,,,100,Pieces,20,20,60,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Human Hair Wig Baru</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">High Quality 100% Remy Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Hair That. Moves. With You.</b><br style=""margin: 0px; padding: 0px;"">The Debut Indian Remy Wig Collection is a high quality collection of human hair wigs. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectable natural look that is smooth and manageable. The Remy process also brings tangling, matting, and shedding to a bare minimum.</p></li>",14,BARU,,1,20,19,,1
BECKY,12,jane@sinahair.com,WIG,Human Hair Wigs,,BECKY,1434571491becky.jpg ,,,,85,Pieces,27,27,81,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Human Hair Wig Becky</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">100% Human Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Real. Style. And Luxury.</b><br style=""margin: 0px; padding: 0px;"">These wigs capture the essentials that are necessary to achieve a seem-less and natural look. It is a look and feel to call your own. Silhouette offers many different styles, textures and colors to quench all varying tastes and style preferences.</p></li>",168,BECKY,,1,27,0,207627,1
BONITA,11,jane@sinahair.com,WIG,Human Hair Wigs,,BONITA,1434571735bonita.jpg ,,,,100,Pieces,92,92,276,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette H.H. Wig Bonita</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">100% Human Hair.<br></li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette series is the top brand in the market, never left behind the fierce competition of the beauty industry.</li><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Dedicated to satisfy the highest quality product in the market.</li>",15,BONITA,,HL4_27,27,5,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,F237,,19,8,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,F237,,19,10,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-130,,19,18,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-130,,19,119,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-99J,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-99J,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-BG,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-BG,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-BG,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-BG,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-BG,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-BG,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,,T1B-BG,,,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,1,T1B-BG,19,35,,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,001B,T1B-BG,19,35,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,2,T1B-BG,19,14,1,207627,1
DANDY,11,DANDY,SALES_AND_DEALS,DANDY,DANDY,DANDY,"DANDY,DANDY,DANDY,DANDY",,,,,,,0,,0,,0,,,,,,,,,,2,4,T1B-BG,19,13,1,207627,1
