PRODUCT_CODE,USER_ID,SUPPLIER_CODE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY,PRODUCT_NAME,IMAGES,HAIR_TYPE,HAIR_TYPE_LENGTH,HAIR_TYPE_STYLE,QUANTITY,QUANTITY_TYPE,MANUFACTURE_PRICE,WHOLESALE_PRICE,MSRP_PRICE,DISCOUNT_OPTION_CHECK,DISCOUNT_OPTION_VALUE,SPECIAL_PROMOTION_CHECK,SPECIAL_PROMOTION_VALUE,DELIVERY_TIME,DROPSHIP,SHIPPING_METHOD,SHIPPING_PRICE,PLACE_ORIGIN,PACKAGE_WEIGHT,PACKAGE_UNIT,DESCRIPTION,PRODUCT_SEEN,SKU,LENGTH,COLOR,PRICE,STOCK,MPRICE,WPRICE,RPRICE,LENGTH_SIZE,MIN_QUANTITY
AARU,10,info@sinahair.com,WIG,Human Wig,,AARU,"1434570357aaru.jpg ,1434570357aaru_b.jpg ,1434570357aaru_f.jpg ,1434570357aaru_s.jpg ",,,,100,Pieces,20,20,60,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<div style=""text-align: left;""><b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Human Hair Wig Aaru</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">High Quality 100% Remy Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Hair That. Moves. With You.</b><br style=""margin: 0px; padding: 0px;"">The Debut Indian Remy Wig Collection is a high quality collection of Human Wig. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectably natural look that is smooth and manageable. The Remy process also brings tangling, matting, and shedding to a bare minimum.</p></li></div>",14,AARU,,1,20,176,,,,,1
BARU,55,info@sinahair.com,WIG,Human Wig,,BARU,"1434571275baru.jpg ,1434571275baru_b.jpg ,1434571275baru_f.jpg ,1434571275baru_s.jpg ",,,,100,Pieces,20,20,60,0,,1,10,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Human Hair Wig Baru</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">High Quality 100% Remy Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Hair That. Moves. With You.</b><br style=""margin: 0px; padding: 0px;"">The Debut Indian Remy Wig Collection is a high quality collection of Human Wig. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectable natural look that is smooth and manageable. The Remy process also brings tangling, matting, and shedding to a bare minimum.</p></li>",14,BARU,,1,20,19,,,,,1
HARU,55,info@sinahair.com,WIG,Human Wig,,HARU,"1434573427haru.jpg ,1434573427haru_front.jpg ,1434573427haru_b.jpg ,1434573427haru_s.jpg ",,,,100,Pieces,20,20,60,0,,0,,2nd Shipping,Yes,UPS,0,China,1,Ib,"<b style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;"">Silhouette Remy Human Hair Wig Haru</b><li style=""margin: 0px; padding: 0px; color: rgb(47, 49, 53); font-family: arial, helvetica, sans-serif; font-size: 13px; line-height: normal;""><p style=""margin-bottom: 1em; padding: 0px;"">High Quality 100% Remy Hair</p><p style=""margin-bottom: 1em; padding: 0px;""><b style=""margin: 0px; padding: 0px;"">Hair That. Moves. With You.</b><br style=""margin: 0px; padding: 0px;"">The Debut Indian Remy Wig Collection is a high quality collection of Human Wig. Each strand is strategically placed with all the roots facing in the same direction, all the ends facing in the same direction and all of the cuticles facing in the same direction. The result of this meticulous process is a beautiful, undetectable natural look that is smooth and manageable. The Remy process also brings tangling, matting, and shedding to a bare minimum.</p></li>",14,HARU,,1,20,22,,,,,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,F4-30,,21,9,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,F4-30,,21,85,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,P1B-BG,,21,12,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,P1B-BG,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
HELEN,55,info@sinahair.com,WIG,Human Wig,,HELEN,"HELEN,HELEN,HELEN",,,,,,,0,,0,,0,,2nd Shipping,,UPS,,,1,,,2,,T1B-30,,,,,,,2.08E+13,1
