PRODUCT_CODE,ITEM,LENGTH,COLOR,TYPE,PRICE,PRICE,STOCK,MPRICE,WPRICE,RPRICE
AARU,AARU,20,1,,20,20,176,,,
BARU,BARU,,1,,20,20,19,,,
HARU,HARU,,1,,20,20,22,,,
HELEN,,F4-30,,2.08E+13,21,21,9,,,
HELEN,,F4-30,,2.08E+13,21,21,85,,,
HELEN,,P1B-BG,,2.08E+13,21,21,12,,,
HELEN,,P1B-BG,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,,
HELEN,1,T1B-30,21,2.08E+13,12,12,,,,
HELEN,001B,T1B-30,21,2.08E+13,9,9,1,,,
HELEN,2,T1B-30,21,2.08E+13,0,0,1,,,
HELEN,4,T1B-30,21,2.08E+13,0,0,1,,,
HELEN,34,T1B-30,21,2.08E+13,6,6,1,,,
HELEN,44,T1B-30,21,2.08E+13,8,8,1,,,
HELEN,51,T1B-30,21,2.08E+13,6,6,1,,,
HELEN,280,T1B-30,21,2.08E+13,5,5,1,,,
HELEN,F1B-27S,T1B-30,21,2.08E+13,14,14,1,,,
HELEN,F1B-30,T1B-30,21,2.08E+13,13,13,1,,,
HELEN,F1B-33,T1B-30,21,2.08E+13,13,13,1,,,
HELEN,F237,T1B-30,21,2.08E+13,8,8,1,,,
JANE H,JANE H,,1,Inch,34,34,0,,,
JENIF H,,,,,,,,,,
JULIE H,,,,,,,,,,
JULIE H II,JULIE H II,10,1,Inch,51,51,8,,,
KASSIA,KASSIA,,1,Inch,66,66,18,,,
LACE-001,LACE-001,,1,Inch,350,350,6,,,
LACE-002,LACE-002,,1,Inch,350,350,17,,,
LACE-004,LACE-004,,1,Inch,150,150,2,,,
LACE-006,LACE-006,,1,Inch,150,150,0,,,
test111,test,,2,,100,100,100,,,
LACE-007,LACE-007,,1,Inch,190,190,9,,,
LACE-008,LACE-008,,1,Inch,150,150,4,,,
LACE-009,LACE-009,,1,Inch,150,150,4,,,
LACE-010,LACE-010,,1,Inch,70,70,55,,,
LACE-011,LACE-011,,1,Inch,80,80,1,,,
LINSEY,LINSEY,,1,Inch,21,21,10,,,
LISA,LISA,,1,Inch,35,35,1,,,
MARU,MARU,,1,Inch,20,20,-1,,,
shop_1,shop_ab,,4,Inch,100,100,80,,,
ESTHER11,ESTHER,,TT1B-BG,,100,100,54,,,
ESTHER1,ESTHER1,,TT1B-BG,,100,100,54,,,
ESTHER120,ESTHER120,,F4-30,,100,100,80,,,
ESTHER120, ESTHER120,,F4-30,,100,100,80,,,
ESTHER123,ESTHER123,,F4-30,,100,100,80,,,
ESTHER115,ESTHER115,,TT1B-BG,,0,0,25,,,
ESTHER115, ESTHER115,,F4-30,,100,100,20,,,
ESTHER115, ESTHER115,,1,,100,100,20,,,
ESTHER115, ESTHER115,,001B,,100,100,25,,,
ESTHER115, ESTHER115,,TT1B-33,,100,100,20,,,
ESTHER115, ESTHER115,,2,,100,100,30,,,
ESTHER118,ESTHER118,,F4-30,,0,0,80,,,
ESTHER118, ESTHER118,,2,,0,0,90,,,
ESTHER118, ESTHER118,,TT1B-33,,100,100,100,,,
ESTHER118, ESTHER118,,001B,,100,100,30,,,
ESTHER118, ESTHER118,,TT1B-BG,,100,100,18,,,
ESTHER118, ESTHER118,,1,,100,100,25,,,
ESTHER118, ESTHER118,,4,,100,100,25,,,
STB18,,,,,,,,,,
STW18 ,,,,Inch,,,,,,
hh,,,,Inch,,,,,,
STW16 ,,,,Inch,,,,,,
STW14 ,,,,Inch,,,,,,
STW12 ,,,,Inch,,,,,,
STW10 ,STW,10,4,,35,35,23,17.5,17.5,52.5
STW10 ,STW,10,27,,49,49,28,24.5,24.5,73.5
STW10 ,STW,10,30,,35,35,6,17.5,17.5,52.5
STW10 ,STW,10,33,,35,35,20,17.5,17.5,52.5
STW10 ,STW,10,44,,39,39,6,19.5,19.5,58.5
STW10 ,STW,10,350,,49,49,20,24.5,24.5,73.5
STW10 ,STW,10,613,,75,75,8,37.5,37.5,112.5
STW10 ,STW,10,99J,,49,49,3,24.5,24.5,73.5
STW10 ,STW,10,BLUE,,75,75,60,37.5,37.5,112.5
STW10 ,STW,10,BURG,,49,49,2,24.5,24.5,73.5
STW10 ,STW,10,GREEN,,75,75,53,37.5,37.5,112.5
STW10 ,STW,10,ORANGE,,75,75,50,37.5,37.5,112.5
STW10 ,STW,10,P1B_30,,39,39,19,19.5,19.5,58.5
STW10 ,STW,10,P1B_350,,49,49,8,24.5,24.5,73.5
STW10 ,STW,10,P1B_99J,,49,49,11,24.5,24.5,73.5
STW10 ,STW,10,P1B_BG,,49,49,12,24.5,24.5,73.5
STW10 ,STW,10,P27_30,,49,49,12,24.5,24.5,73.5
STW10 ,STW,10,P27_33,,49,49,15,24.5,24.5,73.5
STW10 ,STW,10,P27_613,,105,105,16,52.5,52.5,157.5
STW10 ,STW,10,P4_27,,49,49,12,24.5,24.5,73.5
STW10 ,STW,10,P4_30,,39,39,35,19.5,19.5,58.5
STW10 ,STW,10,PINK,,75,75,48,37.5,37.5,112.5
STW10 ,STW,10,PURPLE,,75,75,48,37.5,37.5,112.5
STW10 ,STW,10,RED,,75,75,67,37.5,37.5,112.5
STW10 ,STW,12,1,,50,50,61,25,25,75
STW10 ,STW,12,27,,64,64,15,32,32,96
STW10 ,STW,12,30,,50,50,12,25,25,75
STW10 ,STW,12,33,,50,50,17,25,25,75
STW10 ,STW,12,350,,64,64,16,32,32,96
STW10 ,STW,12,613,,90,90,9,45,45,135
STW10 ,STW,12,001B,,50,50,26,25,25,75
STW10 ,STW,12,99J,,64,64,18,32,32,96
STW10 ,STW,12,BURG,,64,64,24,32,32,96
STW10 ,STW,12,P1B_30,,54,54,10,27,27,81
STW10 ,STW,12,P1B_33,,54,54,14,27,27,81
STW10 ,STW,12,P1B_350,,64,64,11,32,32,96
STW10 ,STW,12,P1B_99J,,64,64,17,32,32,96
STW10 ,STW,12,P1B_BG,,64,64,12,32,32,96
STW10 ,STW,12,P27_30,,64,64,14,32,32,96
STW10 ,STW,12,P27_33,,64,64,10,32,32,96
STW10 ,STW,12,P27_613,,120,120,33,60,60,180
STW10 ,STW,12,P4_27,,64,64,24,32,32,96
STW10 ,STW,12,P4_30,,54,54,12,27,27,81
STW10 ,STW,14,1,,64,64,121,32,32,96
STW10 ,STW,14,2,,64,64,5,32,32,96
STW10 ,STW,14,4,,64,64,5,32,32,96
STW10 ,STW,14,22,,104,104,143,52,52,156
STW10 ,STW,14,27,,78,78,12,39,39,117
STW10 ,STW,14,30,,64,64,13,32,32,96
STW10 ,STW,14,33,,64,64,2,32,32,96
