PRODUCT_CODE,ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK,MPRICE,WPRICE,RPRICE
AARU,AARU,,11,,20.00,20.00,176.00,,12.00
BARU,BARU,,1,,20.00,20.00,19.00,,
HARU,HARU,,1,,20.00,20.00,22.00,,
HELEN,,F4-30,,2.08E+13,21.00,9.00,,,
HELEN,,F4-30,,2.08E+13,21.00,85.00,,,
HELEN,,P1B-BG,,2.08E+13,21.00,12.00,,,
HELEN,,P1B-BG,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,1,T1B-30,21,2.08E+13,12.00,,,,
HELEN,001B,T1B-30,21,2.08E+13,9.00,1.00,,,
HELEN,2,T1B-30,21,2.08E+13,0.00,1.00,,,
HELEN,4,T1B-30,21,2.08E+13,0.00,1.00,,,
HELEN,34,T1B-30,21,2.08E+13,6.00,1.00,,,
HELEN,44,T1B-30,21,2.08E+13,8.00,1.00,,,
HELEN,51,T1B-30,21,2.08E+13,6.00,1.00,,,
HELEN,280,T1B-30,21,2.08E+13,5.00,1.00,,,
HELEN,F1B-27S,T1B-30,21,2.08E+13,14.00,1.00,,,
HELEN,F1B-30,T1B-30,21,2.08E+13,13.00,1.00,,,
HELEN,F1B-33,T1B-30,21,2.08E+13,13.00,1.00,,,
HELEN,F237,T1B-30,21,2.08E+13,8.00,1.00,,,
JANE H,JANE H,,1,Inch,34.00,34.00,0.00,,
JENIF H,,,,,,,,,
JULIE H,,,,,,,,,
JULIE H II,JULIE H II,10,1,Inch,51.00,51.00,8.00,,
KASSIA,KASSIA,,1,Inch,66.00,66.00,18.00,,
LACE-001,LACE-001,,1,Inch,350.00,350.00,6.00,,
LACE-002,LACE-002,,1,Inch,350.00,350.00,17.00,,
LACE-004,LACE-004,,1,Inch,150.00,150.00,2.00,,
LACE-006,LACE-006,,1,Inch,150.00,150.00,0.00,,
test111,test,,2,,100.00,100.00,,,
LACE-007,LACE-007,,1,Inch,190.00,190.00,9.00,,
LACE-008,LACE-008,,1,Inch,150.00,150.00,4.00,,
LACE-009,LACE-009,,1,Inch,150.00,150.00,4.00,,
LACE-010,LACE-010,,1,Inch,70.00,70.00,55.00,,
LACE-011,LACE-011,,1,Inch,80.00,80.00,1.00,,
LINSEY,LINSEY,,1,Inch,21.00,21.00,10.00,,
LISA,LISA,,1,Inch,35.00,35.00,1.00,,
MARU,MARU,,1,Inch,20.00,20.00,-1.00,,
shop_1,shop_ab,,4,Inch,100.00,80.00,,,
ESTHER11,ESTHER,,TT1B-BG,,100.00,54.00,,,
ESTHER1,ESTHER1,,TT1B-BG,,100.00,100.00,54.00,,
ESTHER120,ESTHER120,,F4-30,,100.00,100.00,80.00,,
ESTHER123,ESTHER123,,F4-30,,100.00,100.00,80.00,,
ESTHER115,ESTHER115,,TT1B-BG,,0.00,0.00,25.00,,
ESTHER118,ESTHER118,,F4-30,,0.00,0.00,80.00,,
STB18,,,,,,,,,
STW18 ,,,,Inch,,,,,
hh,,,,Inch,,,,,
STW16 ,,,,Inch,,,,,
STW14 ,,,,Inch,,,,,
STW12 ,,,,Inch,,,,,
STW10 ,STW,10,4,,35.00,23.00,17.50,17.50,52.50
STW10 ,STW,10,27,,49.00,28.00,24.50,24.50,73.50
STW10 ,STW,10,30,,35.00,6.00,17.50,17.50,52.50
STW10 ,STW,10,33,,35.00,20.00,17.50,17.50,52.50
STW10 ,STW,10,44,,39.00,6.00,19.50,19.50,58.50
STW10 ,STW,10,350,,49.00,20.00,24.50,24.50,73.50
STW10 ,STW,10,613,,75.00,8.00,37.50,37.50,112.50
STW10 ,STW,10,99J,,49.00,3.00,24.50,24.50,73.50
STW10 ,STW,10,BLUE,,75.00,60.00,37.50,37.50,112.50
STW10 ,STW,10,BURG,,49.00,2.00,24.50,24.50,73.50
STW10 ,STW,10,GREEN,,75.00,53.00,37.50,37.50,112.50
STW10 ,STW,10,ORANGE,,75.00,50.00,37.50,37.50,112.50
STW10 ,STW,10,P1B_30,,39.00,19.00,19.50,19.50,58.50
STW10 ,STW,10,P1B_350,,49.00,8.00,24.50,24.50,73.50
STW10 ,STW,10,P1B_99J,,49.00,11.00,24.50,24.50,73.50
STW10 ,STW,10,P1B_BG,,49.00,12.00,24.50,24.50,73.50
STW10 ,STW,10,P27_30,,49.00,12.00,24.50,24.50,73.50
STW10 ,STW,10,P27_33,,49.00,15.00,24.50,24.50,73.50
STW10 ,STW,10,P27_613,,105.00,16.00,52.50,52.50,157.50
STW10 ,STW,10,P4_27,,49.00,12.00,24.50,24.50,73.50
STW10 ,STW,10,P4_30,,39.00,35.00,19.50,19.50,58.50
STW10 ,STW,10,PINK,,75.00,48.00,37.50,37.50,112.50
STW10 ,STW,10,PURPLE,,75.00,48.00,37.50,37.50,112.50
STW10 ,STW,10,RED,,75.00,67.00,37.50,37.50,112.50
STW10 ,STW,12,1,,50.00,61.00,25.00,25.00,75.00
STW10 ,STW,12,27,,64.00,15.00,32.00,32.00,96.00
STW10 ,STW,12,30,,50.00,12.00,25.00,25.00,75.00
STW10 ,STW,12,33,,50.00,17.00,25.00,25.00,75.00
STW10 ,STW,12,350,,64.00,16.00,32.00,32.00,96.00
STW10 ,STW,12,613,,90.00,9.00,45.00,45.00,135.00
STW10 ,STW,12,001B,,50.00,26.00,25.00,25.00,75.00
STW10 ,STW,12,99J,,64.00,18.00,32.00,32.00,96.00
STW10 ,STW,12,BURG,,64.00,24.00,32.00,32.00,96.00
STW10 ,STW,12,P1B_30,,54.00,10.00,27.00,27.00,81.00
STW10 ,STW,12,P1B_33,,54.00,14.00,27.00,27.00,81.00
STW10 ,STW,12,P1B_350,,64.00,11.00,32.00,32.00,96.00
