ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
631,VANESSA,VANESSA,10,20,Inch,40,50,60,70,80
781,BECKY,BECKY,,HL2_350  ,Inch,66,66,.,.,.
778,BONITA,BONITA,,F1B_27S,Inch,,,,,
774,DANDY,,,,Inch,,,,,
783,BARBARA,BARBARA,,HL2_350  ,Inch,54,54,1,1,1
233,BARU,BARU,,20,,40,50,60,60,60
231,AARU,AARU,,20,,40,50,60,60,60
639,Y BRD,,,,Inch,,,,,
640,remybw12 ,REMY BW12 ,20,001B,Inch,30,40,50,60,70
640,remybw12 ,REMY BW12 ,,P1B_30 ,Inch,,,,,
640,remybw12 ,REMY BW12 ,,27,Inch,,,,,
640,remybw12 ,REMY BW12 ,,30,Inch,,,,,
640,remybw12 ,REMY BW12 ,,4,Inch,,,,,
640,remybw12 ,REMY BW12 ,,2,Inch,,,,,
640,remybw12 ,REMY BW12 ,,33,Inch,,,,,
640,remybw12 ,REMY BW12 ,,1P4_30,Inch,,,,,
641,NY BRD,,,,Inch,,,,,
242,HARU,HARU,,1,,20,20,22,22,22
739,JADA,JADA,,TT1B_350,Inch,,,,,
245,JANE H,JANE H,,1,Inch,34,34,0,0,0
246,JENIF H,,,,,,,,,
736,WG-006,WG-006,,P4_30,Inch,0,0,,,
248,JULIE H,,,,,,,,,
635,OLIVIA,OLIVIA,,2,Inch,,,,,
249,JULIE H II,JULIE H II,,1,Inch,51,51,8,8,8
735,PAYTON,PAYTON,,DLH1B_2763,Inch,,,,,
251,KASSIA,KASSIA,,1,Inch,66,66,18,18,18
252,LACE-001,LACE-001,,1,Inch,350,350,6,6,6
253,LACE-002,LACE-002,,1,Inch,350,350,17,17,17
633,LACE-003,SOFIA,,1,Inch,,,,,
633,LACE-003,SOFIA,,F4_30,Inch,,,,,
633,LACE-003,SOFIA,,F1B_30,Inch,,,,,
633,LACE-003,SOFIA,,DYA99C_35B,Inch,,,,,
633,LACE-003,SOFIA,,DYA99C_27E,Inch,,,,,
633,LACE-003,SOFIA,,DYA530A_350E,Inch,,,,,
633,LACE-003,SOFIA,,001B,Inch,,,,,
633,LACE-003,SOFIA,,2,Inch,,,,,
255,LACE-004,LACE-004,,1,Inch,150,150,2,2,2
637,REMYBW16 ,BW16 ,,1,Inch,,,,,
637,REMYBW16 ,BW16 ,,P6_613 ,Inch,,,,,
637,REMYBW16 ,BW16 ,,1P4_30 ,Inch,,,,,
637,REMYBW16 ,BW16 ,,P27_613 ,Inch,,,,,
637,REMYBW16 ,BW16 ,,P1B_30 ,Inch,,,,,
637,REMYBW16 ,BW16 ,,33,Inch,,,,,
637,REMYBW16 ,BW16 ,,27,Inch,,,,,
637,REMYBW16 ,BW16 ,,4,Inch,,,,,
637,REMYBW16 ,BW16 ,,001B ,Inch,,,,,
638,MIA,MIA,,2,Inch,,,,,
257,LACE-006,LACE-006,,1,Inch,150,150,0,0,0
262,test111,test,,2,,100,100,,,
265,LACE-007,LACE-007,,1,Inch,190,190,9,9,9
642,WW BRD ,,,,Inch,,,,,
266,LACE-008,LACE-008,,1,Inch,150,150,4,4,4
267,LACE-009,LACE-009,,1,Inch,150,150,4,4,4
643,YK PONY ,,,,Inch,,,,,
268,LACE-010,LACE-010,,1,Inch,70,70,55,55,55
269,LACE-011,LACE-011,,1,Inch,80,80,1,1,1
644,LACE-012,,,,Inch,,,,,
271,LINSEY,LINSEY,,1,Inch,21,21,10,10,10
