ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
631,VANESSA,VANESSA,10,20,Inch,40,50,20,20,80
781,BECKY,BECKY,,HL2_350  ,Inch,66,66,33,33,132
778,BONITA,BONITA,,F1B_27S,Inch,,,0,0,0
774,DANDY,,,,Inch,,,0,0,0
783,BARBARA,BARBARA,,HL2_350  ,Inch,54,54,27,27,108
233,BARU,BARU,,20,,40,50,20,20,80
231,AARU,AARU,,20,,40,50,20,20,80
639,Y BRD,,,,Inch,,,0,0,0
640,remybw12 ,REMY BW12 ,20,001B,Inch,30,40,15,15,60
640,remybw12 ,REMY BW12 ,,P1B_30 ,Inch,,,0,0,0
640,remybw12 ,REMY BW12 ,,27,Inch,,,0,0,0
640,remybw12 ,REMY BW12 ,,30,Inch,,,0,0,0
640,remybw12 ,REMY BW12 ,,4,Inch,,,0,0,0
640,remybw12 ,REMY BW12 ,,2,Inch,,,0,0,0
640,remybw12 ,REMY BW12 ,,33,Inch,,,0,0,0
640,remybw12 ,REMY BW12 ,,1P4_30,Inch,,,0,0,0
641,NY BRD,,,,Inch,,,0,0,0
242,HARU,HARU,,1,,20,20,10,10,40
739,JADA,JADA,,TT1B_350,Inch,,,0,0,0
245,JANE H,JANE H,,1,Inch,34,34,17,17,68
246,JENIF H,,,,,,,0,0,0
736,WG-006,WG-006,,P4_30,Inch,0,0,0,0,0
248,JULIE H,,,,,,,0,0,0
635,OLIVIA,OLIVIA,,2,Inch,,,0,0,0
249,JULIE H II,JULIE H II,,1,Inch,51,51,25.5,25.5,102
735,PAYTON,PAYTON,,DLH1B_2763,Inch,,,0,0,0
251,KASSIA,KASSIA,,1,Inch,66,66,33,33,132
252,LACE-001,LACE-001,,1,Inch,350,350,175,175,700
253,LACE-002,LACE-002,,1,Inch,350,350,175,175,700
633,LACE-003,SOFIA,,1,Inch,,,0,0,0
633,LACE-003,SOFIA,,F4_30,Inch,,,0,0,0
633,LACE-003,SOFIA,,F1B_30,Inch,,,0,0,0
633,LACE-003,SOFIA,,DYA99C_35B,Inch,,,0,0,0
633,LACE-003,SOFIA,,DYA99C_27E,Inch,,,0,0,0
