ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE,,,,,,,,
767, WW10,WW10,,P1B_33,Inch,57,,28.50,28.50,114.00,,,,,,,,
767, WW10,WW10,,P4_27,Inch,57,,28.50,28.50,114.00,,,,,,,,
767, WW10,WW10,,P4_30,Inch,57,,28.50,28.50,114.00,,,,,,,,
675,"	NSB16 ",NSB16,,1,Inch,74.25,18,37.13,37.13,148.50,,,,,,,,
675,"	NSB16 ",NSB16,,001B,Inch,74.25,77,37.13,37.13,148.50,,,,,,,,
675,"	NSB16 ",NSB16,,2,Inch,74.25,44,37.13,37.13,148.50,,,,,,,,
675,"	NSB16 ",NSB16,,4,Inch,74.25,5,37.13,37.13,148.50,,,,,,,,
675,"	NSB16 ",NSB16,,27,Inch,74.25,25,37.13,37.13,148.50,,,,,,,,
675,"	NSB16 ",NSB16,,30,Inch,74.25,25,37.13,37.13,148.50,,,,,,,,
675,"	NSB16 ",NSB16,,33,Inch,74.25,32,37.13,37.13,148.50,,,,,,,,
675,"	NSB16 ",NSB16,,280,Inch,80.25,55,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,350,Inch,80.25,1,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,613,Inch,86.25,56,43.13,43.13,172.50,,,,,,,,
675,"	NSB16 ",NSB16,,99J,Inch,80.25,23,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,BURG,Inch,80.25,15,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P1B_130,Inch,80.25,8,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P1B_27,Inch,80.25,123,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P1B_30,Inch,80.25,90,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P1B_33,Inch,80.25,62,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P1B_350,Inch,80.25,32,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P1B_99J,Inch,80.25,30,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P1B_BG,Inch,80.25,15,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P27_613,Inch,86.25,101,43.13,43.13,172.50,,,,,,,,
675,"	NSB16 ",NSB16,,P4_27,Inch,80.25,21,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,P4_30,Inch,80.25,29,40.13,40.13,160.50,,,,,,,,
675,"	NSB16 ",NSB16,,RED,Inch,80.25,29,40.13,40.13,160.50,,,,,,,,
