ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
631,VANESSA,VANESSA,,1,,16,37,8,8,30
631,VANESSA,VANESSA,,2,,16,32,8,8,30
631,VANESSA,VANESSA,,001B,,16,39,8,8,30
631,VANESSA,VANESSA,,F1B_30,,16,19,8,8,30
631,VANESSA,VANESSA,,F4_30,,16,32,8,8,30
631,VANESSA,VANESSA,,RVFB8_30E_27F,,16,34,8,8,30
631,VANESSA,VANESSA,,RVFB8A_145C_150C,,16,25,8,8,30
631,VANESSA,VANESSA,,RVFB8A_340B_145C,,16,20,8,8,30
781,BECKY,BECKY,,2,Inch,27,66,13.5,13.5,54
781,BECKY,BECKY,,4,,27,2,13.5,13.5,54
781,BECKY,BECKY,,HL2_350,,27,8,13.5,13.5,54
781,BECKY,BECKY,,HL2_613,,27,4,13.5,13.5,54
781,BECKY,BECKY,,HL2_BG,,27,11,13.5,13.5,54
781,BECKY,BECKY,,HL4_27,,27,8,13.5,13.5,54
781,BECKY,BECKY,,TTL1B_33,,27,4,13.5,13.5,54
778,BONITA,BONITA,,1,Inch,147.2,3,73.6,73.6,294.4
778,BONITA,BONITA,,2,,147.2,6,73.6,73.6,294.4
778,BONITA,BONITA,,4,,147.2,17,73.6,73.6,294.4
778,BONITA,BONITA,,001B,,147.2,12,73.6,73.6,294.4
778,BONITA,BONITA,,F1B_27S,,147.2,3,73.6,73.6,294.4
778,BONITA,BONITA,,F1B_30,,147.2,12,73.6,73.6,294.4
778,BONITA,BONITA,,F1B_33,,147.2,15,73.6,73.6,294.4
778,BONITA,BONITA,,F4_30,,147.2,6,73.6,73.6,294.4
774,DANDY,DANDY,,1,Inch,30.4,12,15.2,15.2,60.8
774,DANDY,DANDY,,2,,30.4,6,15.2,15.2,60.8
774,DANDY,DANDY,,001B,,30.4,18,15.2,15.2,60.8
774,DANDY,DANDY,,F1B_27S,,30.4,15,15.2,15.2,60.8
774,DANDY,DANDY,,F1B_30,,30.4,6,15.2,15.2,60.8
774,DANDY,DANDY,,F1B_33,,30.4,8,15.2,15.2,60.8
774,DANDY,DANDY,,F1B_BG,,30.4,67,15.2,15.2,60.8
774,DANDY,DANDY,,T1B_130,,30.4,10,15.2,15.2,60.8
774,DANDY,DANDY,,T1B_99J,,30.4,18,15.2,15.2,60.8
774,DANDY,DANDY,,T1B_BG,,30.4,118,15.2,15.2,60.8
783,BARBARA,BARBARA,,1,Inch,33.6,23,16.8,16.8,67.2
783,BARBARA,BARBARA,,2,,33.6,7,16.8,16.8,67.2
783,BARBARA,BARBARA,,4,,33.6,25,16.8,16.8,67.2
783,BARBARA,BARBARA,,001B,,33.6,3,16.8,16.8,67.2
783,BARBARA,BARBARA,,HL2_27S,,33.6,20,16.8,16.8,67.2
783,BARBARA,BARBARA,,HL2_350,,33.6,14,16.8,16.8,67.2
783,BARBARA,BARBARA,,HL2_613,,33.6,9,16.8,16.8,67.2
783,BARBARA,BARBARA,,HL2_BG,,33.6,11,16.8,16.8,67.2
783,BARBARA,BARBARA,,HL4_27,,33.6,7,16.8,16.8,67.2
783,BARBARA,BARBARA,,TTL1B_33,,33.6,30,16.8,16.8,67.2
233,BARU,BARU,,2,,20,3,10,10,40
233,BARU,BARU,,34,,20,9,10,10,40
233,BARU,BARU,,280,,20,5,10,10,40
233,BARU,BARU,,001B,,20,6,10,10,40
233,BARU,BARU,,DX2216,,20,26,10,10,40
233,BARU,BARU,,DX3147,,20,22,10,10,40
233,BARU,BARU,,DX4130,,20,57,10,10,40
233,BARU,BARU,,DX4145,,20,27,10,10,40
233,BARU,BARU,,F1B_30,,20,23,10,10,40
233,BARU,BARU,,F1B_33,,20,38,10,10,40
231,AARU,AARU,,1,,32,170,16,16,64
231,AARU,AARU,,2,,32,67,16,16,64
231,AARU,AARU,,4,,32,63,16,16,64
231,AARU,AARU,,001B,,32,141,16,16,64
231,AARU,AARU,,DX2216,,32,59,16,16,64
231,AARU,AARU,,DX3147,,32,69,16,16,64
231,AARU,AARU,,DX4130,,32,91,16,16,64
