ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,1,Inch,90.00,1,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,001B,Inch,90.00,0,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,2,Inch,90.00,1,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,4,Inch,90.00,1,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,6,Inch,90.00,1,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,16,Inch,90.00,0,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,22,Inch,90.00,0,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,27,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,30,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,032A,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,33,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,613,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P10_16,Inch,90.00,0,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P14_24,Inch,100.00,1,50.00,55.00,125.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P16_24,Inch,90.00,1,45.00,49.50,112.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P18_22,Inch,100.00,0,50.00,55.00,125.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P2_613,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P27_613,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_24,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_27_30,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_30,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P6_613,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,T4_30_27,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,T6_27_613,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,TT3_613,Inch,110.00,1,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,TT3_BURG,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,1,Inch,110.00,1,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,001B,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,2,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,4,Inch,100.00,0,50.00,55.00,125.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,6,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,16,Inch,110.00,0,55.00,60.50,137.50
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,22,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,27,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,30,Inch,120.00,0,60.00,66.00,150.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,032A,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,33,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,613,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P10_16,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P14_24,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P16_24,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P18_22,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P2_613,Inch,140.00,1,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P27_613,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P4_24,Inch,152.00,0,76.00,83.60,190.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P4_27_30,Inch,152.00,0,76.00,83.60,190.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P4_30,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P6_613,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,T4_30_27,Inch,128.00,0,64.00,70.40,160.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,T6_27_613,Inch,116.00,0,58.00,63.80,145.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,TT3_613,Inch,128.00,0,64.00,70.40,160.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,TT3_BURG,Inch,152.00,-1,76.00,83.60,190.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,1,Inch,152.00,0,76.00,83.60,190.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,001B,Inch,152.00,0,76.00,83.60,190.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,2,Inch,140.00,1,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,4,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,6,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,16,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,22,Inch,140.00,1,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,27,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,30,Inch,152.00,0,76.00,83.60,190.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,032A,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,33,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,613,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P10_16,Inch,128.00,1,64.00,70.40,160.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P14_24,Inch,140.00,0,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P16_24,Inch,140.00,-4,70.00,77.00,175.00
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P18_22,Inch,152.00,0,76.00,83.60,190.00
