ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,1,Inch,86,0,43,47.3,107.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,001B,Inch,86,1,43,47.3,107.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,2,Inch,86,1,43,47.3,107.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,4,Inch,86,1,43,47.3,107.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,6,Inch,86,1,43,47.3,107.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,16,Inch,102,1,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,22,Inch,110,0,55,60.5,137.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,27,Inch,102,0,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,30,Inch,86,0,43,47.3,107.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,032A,Inch,94,0,47,51.7,117.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,33,Inch,86,1,43,47.3,107.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,613,Inch,110,0,55,60.5,137.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P10_16,Inch,102,0,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P14_24,Inch,102,1,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P16_24,Inch,102,1,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P18_22,Inch,102,0,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P2_613,Inch,102,1,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P27_613,Inch,102,1,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_24,Inch,102,1,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_27_30,Inch,102,0,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_30,Inch,94,1,47,51.7,117.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P6_613,Inch,102,1,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,T4_30_27,Inch,102,0,51,56.1,127.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,T6_27_613,Inch,110,0,55,60.5,137.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,TT3_613,Inch,110,0,55,60.5,137.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,TT3_BURG,Inch,110,0,55,60.5,137.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,1,Inch,130,0,65,71.5,162.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,001B,Inch,130,0,65,71.5,162.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,2,Inch,130,0,65,71.5,162.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,4,Inch,130,0,65,71.5,162.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,6,Inch,130,0,65,71.5,162.5
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,16,Inch,154,0,77,84.7,192.5
32,AND-CL,,18,22,Inch,166,0,83,91.3,207.5
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,12,NATURAL,Inch,21,300,10.5,11.55,26.25
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,14,NATURAL,Inch,27,500,13.5,14.85,33.75
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,16,NATURAL,Inch,34,199,17,18.7,42.5
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,18,NATURAL,Inch,40,399,20,22,50
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,20,NATURAL,Inch,48,-2,24,26.4,60
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,22,NATURAL,Inch,56,0,28,30.8,70
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,24,NATURAL,Inch,64,0,32,35.2,80
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,26,NATURAL,Inch,72,0,36,39.6,90
31,BNH-NW,NATURAL UNPROCESSED NATURAL WAVE,28,NATURAL,Inch,80,0,40,44,100
48,IRIS,,,,,,,,,
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,12,NATURAL,Inch,21,300,10.5,11.55,26.25
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,14,NATURAL,Inch,27,-1,13.5,14.85,33.75
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,16,NATURAL,Inch,34,199,17,18.7,42.5
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,18,NATURAL,Inch,40,298,20,22,50
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,20,NATURAL,Inch,48,500,24,26.4,60
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,22,NATURAL,Inch,56,500,28,30.8,70
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,24,NATURAL,Inch,64,300,32,35.2,80
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,26,NATURAL,Inch,72,0,36,39.6,90
30,BNH-BW,NATURAL UNPROCESSED BODY WAVE,28,NATURAL,Inch,80,0,40,44,100
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,1,Inch,18,0,9,9.9,22.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,001B,Inch,18,49,9,9.9,22.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,2,Inch,18,0,9,9.9,22.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,4,Inch,18,0,9,9.9,22.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,P1B_30,Inch,21,1,10.5,11.55,26.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,P1B_33,Inch,21,0,10.5,11.55,26.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,T1B_27,Inch,21,0,10.5,11.55,26.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,10,T1B_30,Inch,21,0,10.5,11.55,26.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,1,Inch,26,0,13,14.3,32.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,001B,Inch,26,0,13,14.3,32.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,2,Inch,26,0,13,14.3,32.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,4,Inch,26,0,13,14.3,32.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,P1B_30,Inch,29,0,14.5,15.95,36.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,P1B_33,Inch,29,0,14.5,15.95,36.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,T1B_27,Inch,29,1,14.5,15.95,36.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,12,T1B_30,Inch,29,0,14.5,15.95,36.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,1,Inch,37,0,18.5,20.35,46.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,001B,Inch,37,0,18.5,20.35,46.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,2,Inch,37,0,18.5,20.35,46.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,4,Inch,37,-1,18.5,20.35,46.25
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,P1B_30,Inch,40,0,20,22,50
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,P1B_33,Inch,40,0,20,22,50
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,T1B_27,Inch,40,0,20,22,50
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,14,T1B_30,Inch,40,0,20,22,50
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,1,Inch,58,1,29,31.9,72.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,001B,Inch,58,1,29,31.9,72.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,2,Inch,58,1,29,31.9,72.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,4,Inch,58,1,29,31.9,72.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,P1B_30,Inch,62,0,31,34.1,77.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,P1B_33,Inch,62,1,31,34.1,77.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,T1B_27,Inch,62,0,31,34.1,77.5
26,SHE-BR-BW,SHEREE BRAZILIAN REMY BODY WAVE,18,T1B_30,Inch,62,1,31,34.1,77.5
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,1,Inch,18,1,9,9.9,22.5
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,001B,Inch,18,0,9,9.9,22.5
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,2,Inch,18,0,9,9.9,22.5
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,4,Inch,18,0,9,9.9,22.5
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,P1B_30,Inch,21,0,10.5,11.55,26.25
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,P1B_33,Inch,21,0,10.5,11.55,26.25
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,T1B_27,Inch,21,0,10.5,11.55,26.25
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,10,T1B_30,Inch,21,0,10.5,11.55,26.25
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,12,1,Inch,26,0,13,14.3,32.5
27,SHE-BR-DW,SHEREE BRAZILIAN REMY DEEP WAVE,12,001B,Inch,26,0,13,14.3,32.5
