ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,1,Inch,129,0,43,43,161
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,001B,Inch,129,0,43,43,161
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,2,Inch,129,0,43,43,161
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,4,Inch,129,0,43,43,161
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,6,Inch,129,0,43,43,161
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,16,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,22,Inch,168,0,56,56,210
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,27,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,30,Inch,129,0,43,43,161
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,032A,Inch,144,0,48,48,180
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,33,Inch,129,0,43,43,161
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,613,Inch,168,0,56,56,210
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P27_613,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P10_16,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P14_24,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P16_24,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P18_22,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_27_30,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_24,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P4_30,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P2_613,Inch,144,0,48,48,180
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,P6_613,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,T4_30_27,Inch,156,0,52,52,195
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,T6_27_613,Inch,168,0,56,56,210
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,TT3_613,Inch,168,0,56,56,210
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,14,TT3_BURG,Inch,168,0,56,56,210
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,1,Inch,195,0,65,65,244
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,001B,Inch,195,0,65,65,244
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,2,Inch,195,0,65,65,244
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,4,Inch,195,0,65,65,244
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,6,Inch,195,0,65,65,244
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,16,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,22,Inch,252,0,84,84,315
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,27,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,30,Inch,195,0,65,65,244
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,032A,Inch,216,0,72,72,270
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,33,Inch,195,0,65,65,244
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,613,Inch,252,0,84,84,315
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P27_613,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P10_16,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P14_24,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P16_24,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P18_22,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P4_27_30,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P4_24,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P4_30,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P2_613,Inch,216,0,72,72,270
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,P6_613,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,T4_30_27,Inch,234,0,78,78,293
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,T6_27_613,Inch,252,0,84,84,315
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,TT3_613,Inch,252,0,84,84,315
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,18,TT3_BURG,Inch,252,0,84,84,315
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,1,Inch,261,0,87,87,326
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,001B,Inch,261,0,87,87,326
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,2,Inch,261,0,87,87,326
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,4,Inch,261,0,87,87,326
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,6,Inch,261,0,87,87,326
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,16,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,22,Inch,300,0,100,100,375
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,27,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,30,Inch,261,0,87,87,326
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,032A,Inch,276,0,92,92,345
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,33,Inch,261,0,87,87,326
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,613,Inch,300,0,100,100,375
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P27_613,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P10_16,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P14_24,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P16_24,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P18_22,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P4_27_30,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P4_24,Inch,288,0,96,96,360
32,AND-CL,ANDREA CLIP IN EXTENSION 7 PCS ,22,P4_30,Inch,288,0,96,96,360
