ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE,,,,
1015,AALAHNI,AALAHNI,,1,Inch,48.50,20,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,1B,Inch,48.50,20,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,2,Inch,48.50,20,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,4,Inch,48.50,20,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,27,Inch,48.50,10,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,30,Inch,48.50,10,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,33,Inch,48.50,10,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,F1B_30,Inch,48.50,10,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,F4_27,Inch,48.50,10,41.00,41.00,97.00,,,,
1015,AALAHNI,AALAHNI,,F4_30,Inch,48.50,10,41.00,41.00,97.00,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,1,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,1B,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,2,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,4,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,27,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,30,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,33,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,P4_30,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,P1B_33,Inch,4.40,0,3.70,3.70,8.80,,,,
1011,AFRO-BRD-001,AFRO-BRD-001,,P1B_118,Inch,4.40,0,3.70,3.70,8.80,,,,
1016,ALICIA,ALICIA,,1,Inch,17.65,20.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,1B,Inch,17.65,20.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,2,Inch,17.65,20.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,4,Inch,17.65,20.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,27,Inch,17.65,10.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,30,Inch,17.65,10.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,33,Inch,17.65,10.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,F1B_30,Inch,17.65,10.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,F4_27,Inch,17.65,10.00,15.00,15.00,35.29,,,,
1016,ALICIA,ALICIA,,F4_30,Inch,17.65,10.00,15.00,15.00,35.29,,,,
1,ALYSSA,ALYSSA,,1,Inch,12.35,96,10.50,10.50,24.71,,,,
1,ALYSSA,ALYSSA,,1B,Inch,12.35,149,10.50,10.50,24.71,,,,
1,ALYSSA,ALYSSA,,2,Inch,12.35,97,10.50,10.50,24.71,,,,
1,ALYSSA,ALYSSA,,4,Inch,12.35,74,10.50,10.50,24.71,,,,
1,ALYSSA,ALYSSA,,F1B_30,Inch,12.35,48,10.50,10.50,24.71,,,,
1,ALYSSA,ALYSSA,,F1B_BURG,Inch,12.35,48,10.50,10.50,24.71,,,,
1,ALYSSA,ALYSSA,,F4_30,Inch,12.35,49,10.50,10.50,24.71,,,,
1,ALYSSA,ALYSSA,,T4_30_27,Inch,12.35,49,10.50,10.50,24.71,,,,
22,AMANDA ,AMANDA,,1,Inch,20.59,106,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,1B,Inch,20.59,149,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,2,Inch,20.59,108,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,3T1B_30,Inch,20.59,108,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,3T1B_33,Inch,24.12,42,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,3T4_613,Inch,24.12,0,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,3T5004,Inch,24.12,0,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,4,Inch,24.12,43,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,DX2216,Inch,20.59,43,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,DX3147,Inch,20.59,42,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,DX4733,Inch,20.59,41,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,LX3316,Inch,20.59,43,17.50,17.50,41.18,,,,
22,AMANDA ,AMANDA,,SOM7002,Inch,24.12,44,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,SOM7003,Inch,24.12,43,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,SOM7005,Inch,24.12,44,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,SOM7008,Inch,24.12,43,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,SOM7016,Inch,24.12,43,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,TT_BURG,Inch,24.12,43,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,TT1B_RED,Inch,24.12,43,20.50,20.50,48.24,,,,
22,AMANDA ,AMANDA,,TT4_27,Inch,24.12,42,20.50,20.50,48.24,,,,
2,AMBER,AMBER,,1,Inch,13.53,95,11.50,11.50,27.06,,,,
2,AMBER,AMBER,,1B,Inch,13.53,148,11.50,11.50,27.06,,,,
2,AMBER,AMBER,,2,Inch,13.53,98,11.50,11.50,27.06,,,,
2,AMBER,AMBER,,4,Inch,13.53,74,11.50,11.50,27.06,,,,
2,AMBER,AMBER,,F1B_30,Inch,13.53,50,11.50,11.50,27.06,,,,
2,AMBER,AMBER,,F1B_BURG,Inch,13.53,49,11.50,11.50,27.06,,,,
2,AMBER,AMBER,,F4_30,Inch,13.53,49,11.50,11.50,27.06,,,,
