ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
1001,MYANMAR-BD,MYANMAR-BD,10,Natural,Inch,26.5,99,22.5,22.5,53
1001,MYANMAR-BD,MYANMAR-BD,12,Natural,Inch,32,99,27,27,64
1001,MYANMAR-BD,MYANMAR-BD,14,Natural,Inch,37.5,99,31.5,31.5,75
1001,MYANMAR-BD,MYANMAR-BD,16,Natural,Inch,43,99,36.5,36.5,86
1001,MYANMAR-BD,MYANMAR-BD,18,Natural,Inch,48,99,41,41,96
1001,MYANMAR-BD,MYANMAR-BD,20,Natural,Inch,53.5,99,45.5,45.5,107
1001,MYANMAR-BD,MYANMAR-BD,22,Natural,Inch,59,99,50,50,118
1001,MYANMAR-BD,MYANMAR-BD,24,Natural,Inch,64,99,54.5,54.5,128
1001,MYANMAR-BD,MYANMAR-BD,26,Natural,Inch,69.5,59,59,59,139
1002,MYANMAR-SC,MYANMAR-SC,14,Natural,Inch,39.5,49,33.5,33.5,79
1002,MYANMAR-SC,MYANMAR-SC,16,Natural,Inch,45,49,38.5,38.5,90
1002,MYANMAR-SC,MYANMAR-SC,18,Natural,Inch,50.5,49,43,43,101
1002,MYANMAR-SC,MYANMAR-SC,20,Natural,Inch,55.5,49,47.5,47.5,111
1003,MYANMAR-ST,MYANMAR-ST,10,Natural,Inch,26,99,22,22,52
1003,MYANMAR-ST,MYANMAR-ST,12,Natural,Inch,31.5,99,26.5,26.5,63
1003,MYANMAR-ST,MYANMAR-ST,14,Natural,Inch,37,148,31.5,31.5,74
1003,MYANMAR-ST,MYANMAR-ST,16,Natural,Inch,42.5,197,36,36,85
1003,MYANMAR-ST,MYANMAR-ST,18,Natural,Inch,47.5,199,40.5,40.5,95
1003,MYANMAR-ST,MYANMAR-ST,20,Natural,Inch,53,99,45,45,106
1003,MYANMAR-ST,MYANMAR-ST,22,Natural,Inch,58.5,99,50,50,117
1003,MYANMAR-ST,MYANMAR-ST,24,Natural,Inch,63.5,99,54,54,127
1003,MYANMAR-ST,MYANMAR-ST,26,Natural,Inch,69,99,58.5,58.5,138
1004,SHUNFA-NW ,SHUNFA-NW ,10,Natural,Inch,45,49,38,38,90
1004,SHUNFA-NW ,SHUNFA-NW ,12,Natural,Inch,52.5,49,44.5,44.5,105
1004,SHUNFA-NW ,SHUNFA-NW ,14,Natural,Inch,57.5,49,49,49,115
1004,SHUNFA-NW ,SHUNFA-NW ,16,Natural,Inch,65,49,55.5,55.5,130
1004,SHUNFA-NW ,SHUNFA-NW ,18,Natural,Inch,85,49,72.5,72.5,170
1004,SHUNFA-NW ,SHUNFA-NW ,20,Natural,Inch,89,49,75.5,75.5,178
1004,SHUNFA-NW ,SHUNFA-NW ,22,Natural,Inch,97,49,82.5,82.5,194
1004,SHUNFA-NW ,SHUNFA-NW ,24,Natural,Inch,111,49,94,94,222
1004,SHUNFA-NW ,SHUNFA-NW ,26,Natural,Inch,119.5,49,101.5,101.5,239
1005,SHUNFA-BW ,SHUNFA-BW ,10,Natural,Inch,45.5,49,38.5,38.5,91
1005,SHUNFA-BW ,SHUNFA-BW ,12,Natural,Inch,52.5,49,45,45,105
1005,SHUNFA-BW ,SHUNFA-BW ,14,Natural,Inch,58,49,49.5,49.5,116
1005,SHUNFA-BW ,SHUNFA-BW ,16,Natural,Inch,65.5,49,55.5,55.5,131
1005,SHUNFA-BW ,SHUNFA-BW ,18,Natural,Inch,85.5,49,73,73,171
1005,SHUNFA-BW ,SHUNFA-BW ,20,Natural,Inch,89.5,49,76,76,179
1005,SHUNFA-BW ,SHUNFA-BW ,22,Natural,Inch,97.5,49,83,83,195
1005,SHUNFA-BW ,SHUNFA-BW ,24,Natural,Inch,111.5,49,94.5,94.5,223
1005,SHUNFA-BW ,SHUNFA-BW ,26,Natural,Inch,120,49,102,102,240
12,TFH-005,TFH-005 (Straight),,NATURAL,Inch,42.94,316,36.5,36.5,85.88
13,TFH-006,TFH-006 (Curly),,NATURAL,Inch,44.12,328,37.5,37.5,88.24
1024,TRINA,TRINA,,1,Inch,18,20,15.5,15.5,36
1024,TRINA,TRINA,,1B,Inch,18,20,15.5,15.5,36
1024,TRINA,TRINA,,2,Inch,18,20,15.5,15.5,36
1024,TRINA,TRINA,,4,Inch,18,20,15.5,15.5,36
1024,TRINA,TRINA,,27,Inch,18,9,15.5,15.5,36
1024,TRINA,TRINA,,30,Inch,18,10,15.5,15.5,36
1024,TRINA,TRINA,,33,Inch,18,10,15.5,15.5,36
1024,TRINA,TRINA,,F1B_30,Inch,18,10,15.5,15.5,36
1024,TRINA,TRINA,,F4_27,Inch,18,10,15.5,15.5,36
1024,TRINA,TRINA,,F4_30,Inch,18,10,15.5,15.5,36
1023,STACY,STACY,,1,Inch,80,19,68,68,160
1023,STACY,STACY,,1B,Inch,80,20,68,68,160
1023,STACY,STACY,,2,Inch,80,19,68,68,160
1023,STACY,STACY,,4,Inch,80,20,68,68,160
1023,STACY,STACY,,27,Inch,80,10,68,68,160
1023,STACY,STACY,,30,Inch,80,10,68,68,160
1023,STACY,STACY,,33,Inch,80,10,68,68,160
1023,STACY,STACY,,F1B_30,Inch,80,10,68,68,160
1023,STACY,STACY,,F4_27,Inch,80,10,68,68,160
1023,STACY,STACY,,F4_30,Inch,80,10,68,68,160
1022,SIMONE,SIMONE,,1,Inch,19.5,20,16.5,16.5,39
1022,SIMONE,SIMONE,,1B,Inch,19.5,20,16.5,16.5,39
1022,SIMONE,SIMONE,,2,Inch,19.5,20,16.5,16.5,39
1022,SIMONE,SIMONE,,4,Inch,19.5,20,16.5,16.5,39
1022,SIMONE,SIMONE,,27,Inch,19.5,10,16.5,16.5,39
1022,SIMONE,SIMONE,,30,Inch,19.5,10,16.5,16.5,39
1022,SIMONE,SIMONE,,33,Inch,19.5,10,16.5,16.5,39
1022,SIMONE,SIMONE,,F1B_30,Inch,19.5,10,16.5,16.5,39
1022,SIMONE,SIMONE,,F4_27,Inch,19.5,9,16.5,16.5,39
1022,SIMONE,SIMONE,,F4_30,Inch,19.5,10,16.5,16.5,39
1021,ONNA,ONNA,,1,Inch,21,20,18,18,42
