ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE
1001,MYANMAR-BD,MYANMAR-BD,10,Natural,Inch,26.5,99 ,35.00,22.5,53
1001,MYANMAR-BD,MYANMAR-BD,12,Natural,Inch,32,99 ,42.50,27,64
1001,MYANMAR-BD,MYANMAR-BD,14,Natural,Inch,37.5,149 ,49.50,31.5,75
1001,MYANMAR-BD,MYANMAR-BD,16,Natural,Inch,43,198 ,57.00,36.5,86
1001,MYANMAR-BD,MYANMAR-BD,18,Natural,Inch,48,198 ,64.00,41,96
1001,MYANMAR-BD,MYANMAR-BD,20,Natural,Inch,53.5,98 ,71.50,45.5,107
1001,MYANMAR-BD,MYANMAR-BD,22,Natural,Inch,59,99 ,78.50,50,118
1001,MYANMAR-BD,MYANMAR-BD,24,Natural,Inch,64,99 ,85.50,54.5,128
1001,MYANMAR-BD,MYANMAR-BD,26,Natural,Inch,69.5,99 ,92.50,59,139
1002,MYANMAR-SC,MYANMAR-SC,14,Natural,Inch,39.5,49,52.50,33.5,79
1002,MYANMAR-SC,MYANMAR-SC,16,Natural,Inch,45,49,60.00,38.5,90
1002,MYANMAR-SC,MYANMAR-SC,18,Natural,Inch,50.5,49,67.00,43,101
1002,MYANMAR-SC,MYANMAR-SC,20,Natural,Inch,55.5,49,74.50,47.5,111
1003,MYANMAR-ST,MYANMAR-ST,10,Natural,Inch,26,99,34.50,22,52
1003,MYANMAR-ST,MYANMAR-ST,12,Natural,Inch,31.5,99,41.50,26.5,63
1003,MYANMAR-ST,MYANMAR-ST,14,Natural,Inch,37,148,49.00,31.5,74
1003,MYANMAR-ST,MYANMAR-ST,16,Natural,Inch,42.5,197,56.50,36,85
1003,MYANMAR-ST,MYANMAR-ST,18,Natural,Inch,47.5,199,63.50,40.5,95
1003,MYANMAR-ST,MYANMAR-ST,20,Natural,Inch,53,99,70.50,45,106
1003,MYANMAR-ST,MYANMAR-ST,22,Natural,Inch,58.5,99,78.00,50,117
1003,MYANMAR-ST,MYANMAR-ST,24,Natural,Inch,63.5,99,84.50,54,127
1003,MYANMAR-ST,MYANMAR-ST,26,Natural,Inch,69,99,92.00,58.5,138
1005,SHUNFA-BW ,SHUNFA-NW ,10,Natural,Inch,45,49,60.50,38,90
1005,SHUNFA-BW ,SHUNFA-NW ,12,Natural,Inch,52.5,49,70.50,44.5,105
1005,SHUNFA-BW ,SHUNFA-NW ,14,Natural,Inch,57.5,49,77.50,49,115
1005,SHUNFA-BW ,SHUNFA-NW ,16,Natural,Inch,65,49,87.50,55.5,130
1005,SHUNFA-BW ,SHUNFA-NW ,18,Natural,Inch,85,49,114.00,72.5,170
1005,SHUNFA-BW ,SHUNFA-NW ,20,Natural,Inch,89,49,119.00,75.5,178
1005,SHUNFA-BW ,SHUNFA-NW ,22,Natural,Inch,97,49,130.00,82.5,194
1005,SHUNFA-BW ,SHUNFA-NW ,24,Natural,Inch,111,49,148.50,94,222
