ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE,
1003,MYANMAR-ST,MYANMAR-ST,10,Natural,Inch,26,99,34.5,22,52,
1003,MYANMAR-ST,MYANMAR-ST,12,Natural,Inch,31.5,99,41.5,26.5,63,
1003,MYANMAR-ST,MYANMAR-ST,14,Natural,Inch,37,148,49,31.5,74,
1003,MYANMAR-ST,MYANMAR-ST,16,Natural,Inch,42.5,197,56.5,36,85,
1003,MYANMAR-ST,MYANMAR-ST,18,Natural,Inch,47.5,199,63.5,40.5,95,
1003,MYANMAR-ST,MYANMAR-ST,20,Natural,Inch,53,99,70.5,45,106,
1003,MYANMAR-ST,MYANMAR-ST,22,Natural,Inch,58.5,99,78,50,117,
1003,MYANMAR-ST,MYANMAR-ST,24,Natural,Inch,63.5,99,84.5,54,127,
1003,MYANMAR-ST,MYANMAR-ST,26,Natural,Inch,69,99,92,58.5,138,
1005,SHUNFA-BW ,SHUNFA-NW ,10,Natural,Inch,45,49,60.5,38,90,
1005,SHUNFA-BW ,SHUNFA-NW ,12,Natural,Inch,52.5,49,70.5,44.5,105,
1005,SHUNFA-BW ,SHUNFA-NW ,14,Natural,Inch,57.5,49,77.5,49,115,
1005,SHUNFA-BW ,SHUNFA-NW ,16,Natural,Inch,65,49,87.5,55.5,130,
1005,SHUNFA-BW ,SHUNFA-NW ,18,Natural,Inch,85,49,114,72.5,170,
1005,SHUNFA-BW ,SHUNFA-NW ,20,Natural,Inch,89,49,119,75.5,178,
1005,SHUNFA-BW ,SHUNFA-NW ,22,Natural,Inch,97,49,130,82.5,194,
1005,SHUNFA-BW ,SHUNFA-NW ,24,Natural,Inch,111,49,148.5,94,222,
1005,SHUNFA-BW ,SHUNFA-NW ,26,Natural,Inch,119.5,49,160,101.5,239,
1004,SHUNFA-NW ,SHUNFA-BW ,10,Natural,Inch,45.5,49,60,38.5,91,
1004,SHUNFA-NW ,SHUNFA-BW ,12,Natural,Inch,52.5,49,69.5,45,105,
1004,SHUNFA-NW ,SHUNFA-BW ,14,Natural,Inch,58,49,77,49.5,116,
1004,SHUNFA-NW ,SHUNFA-BW ,16,Natural,Inch,65.5,49,86.5,55.5,131,
1004,SHUNFA-NW ,SHUNFA-BW ,18,Natural,Inch,85.5,49,113.5,73,171,
1004,SHUNFA-NW ,SHUNFA-BW ,20,Natural,Inch,89.5,49,118.5,76,179,
1004,SHUNFA-NW ,SHUNFA-BW ,22,Natural,Inch,97.5,49,129,83,195,
1004,SHUNFA-NW ,SHUNFA-BW ,24,Natural,Inch,111.5,49,147.5,94.5,223,
1004,SHUNFA-NW ,SHUNFA-BW ,26,Natural,Inch,120,49,159.5,102,240,
1000,MYANMAR-NW,MYANMAR-NW,10,Natural,Inch,26,49,34.5,22,52,
1000,MYANMAR-NW,MYANMAR-NW,12,Natural,Inch,31.5,49,41.5,26.5,63,
1000,MYANMAR-NW,MYANMAR-NW,14,Natural,Inch,37,99,49,31.5,74,
1000,MYANMAR-NW,MYANMAR-NW,16,Natural,Inch,42.5,99,56.5,36,85,
1000,MYANMAR-NW,MYANMAR-NW,18,Natural,Inch,47.5,96,63.5,40.5,95,
1000,MYANMAR-NW,MYANMAR-NW,20,Natural,Inch,53,47,70.5,45,106,
1000,MYANMAR-NW,MYANMAR-NW,22,Natural,Inch,58.5,47,78,50,117,
1000,MYANMAR-NW,MYANMAR-NW,24,Natural,Inch,63.5,49,84.5,54,127,
1000,MYANMAR-NW,MYANMAR-NW,26,Natural,Inch,69,49,92,58.5,138,
1053,TRINA,TRINA,,1,Inch,18,20,24,15.5,36,
1053,TRINA,TRINA,,001B,Inch,18,20,24,15.5,36,
1053,TRINA,TRINA,,2,Inch,18,20,24,15.5,36,
1053,TRINA,TRINA,,4,Inch,18,20,24,15.5,36,
1053,TRINA,TRINA,,27,Inch,18,9,24,15.5,36,
1053,TRINA,TRINA,,30,Inch,18,10,24,15.5,36,
1053,TRINA,TRINA,,33,Inch,18,10,24,15.5,36,
1053,TRINA,TRINA,,F1B_30,Inch,18,10,24,15.5,36,
1053,TRINA,TRINA,,F4_27,Inch,18,10,24,15.5,36,
1053,TRINA,TRINA,,F4_30,Inch,18,10,24,15.5,36,
1023,STACY,STACY,,1,Inch,80,19,107,68,160,
1023,STACY,STACY,,1B,Inch,80,20,107,68,160,
1023,STACY,STACY,,2,Inch,80,19,107,68,160,
1023,STACY,STACY,,4,Inch,80,20,107,68,160,
1023,STACY,STACY,,27,Inch,80,10,107,68,160,
1023,STACY,STACY,,30,Inch,80,10,107,68,0,
1023,STACY,STACY,,33,Inch,80,10,107,68,0,
1023,STACY,STACY,,F1B_30,Inch,80,10,107,68,0,
1023,STACY,STACY,,F4_27,Inch,80,10,107,68,0,
1023,STACY,STACY,,F4_30,Inch,80,10,107,68,0,
1022,SIMONE,SIMONE,,1,Inch,19.5,20,26,16.5,39,
1022,SIMONE,SIMONE,,1B,Inch,19.5,20,26,16.5,39,
1022,SIMONE,SIMONE,,2,Inch,19.5,20,26,16.5,39,
1022,SIMONE,SIMONE,,4,Inch,19.5,20,26,16.5,39,
1022,SIMONE,SIMONE,,27,Inch,19.5,10,26,16.5,39,
1022,SIMONE,SIMONE,,30,Inch,19.5,10,26,16.5,39,
1022,SIMONE,SIMONE,,33,Inch,19.5,10,26,16.5,39,
1022,SIMONE,SIMONE,,F1B_30,Inch,19.5,10,26,16.5,39,
1022,SIMONE,SIMONE,,F4_27,Inch,19.5,9,26,16.5,39,
1022,SIMONE,SIMONE,,F4_30,Inch,19.5,10,26,16.5,39,
1,FAC-NA,FAC-NA,12,NATURAL,,24.00,970,40.00,20,62,
1,FAC-NA,FAC-NA,14,NATURAL,,35.00,651,58.00,29.1,90,
1,FAC-NA,FAC-NA,16,NATURAL,,43.00,565,73.00,36.3,113,
1,FAC-NA,FAC-NA,18,NATURAL,,53.00,573,89.00,44.1,143,
1,FAC-NA,FAC-NA,20,NATURAL,,62.00,370,104.00,52,169,
1,FAC-NA,FAC-NA,22,NATURAL,,71.00,0,120.00,59.8,188,
1,FAC-NA,FAC-NA,24,NATURAL,,77.00,0,130.00,65.1,214,
1,FAC-NA,FAC-NA,26,NATURAL,,83.00,0,141.00,70.3,240,
33,AND-STW,AND-STW,16,1,Inch,50,297,85.00,63.75,164,
33,AND-STW,AND-STW,16,001B,Inch,50,297,85.00,63.75,164,
33,AND-STW,AND-STW,16,2,Inch,50,98,85.00,63.75,164,
33,AND-STW,AND-STW,16,4,Inch,50,98,85.00,63.75,164,
33,AND-STW,AND-STW,16,22,Inch,70,196,125.00,93.75,244,
33,AND-STW,AND-STW,16,24,Inch,70,97,125.00,93.75,244,
33,AND-STW,AND-STW,16,27,Inch,55,96,95.00,71.25,184,
33,AND-STW,AND-STW,16,30,Inch,50,99,85.00,63.75,164,
33,AND-STW,AND-STW,16,32A,Inch,50,99,85.00,63.75,164,
33,AND-STW,AND-STW,16,33,Inch,50,100,85.00,63.75,164,
33,AND-STW,AND-STW,16,35A,Inch,50,98,85.00,63.75,164,
33,AND-STW,AND-STW,16,613B,Inch,70,393,125.00,93.75,244,
33,AND-STW,AND-STW,16,LT_SILVER,Inch,70,86,125.00,93.75,244,
33,AND-STW,AND-STW,16,P10_16,Inch,55,193,95.00,71.25,184,
33,AND-STW,AND-STW,16,P14_24,Inch,55,191,95.00,71.25,184,
33,AND-STW,AND-STW,16,P16_24,Inch,55,95,95.00,71.25,184,
33,AND-STW,AND-STW,16,P18_22,Inch,70,190,125.00,93.75,244,
33,AND-STW,AND-STW,16,P2_27,Inch,55,99,95.00,71.25,184,
33,AND-STW,AND-STW,16,P2_613,Inch,55,98,95.00,71.25,184,
33,AND-STW,AND-STW,16,P27_613,Inch,55,94,95.00,71.25,184,
33,AND-STW,AND-STW,16,P4_24,Inch,55,97,95.00,71.25,184,
33,AND-STW,AND-STW,16,P4_27,Inch,55,92,95.00,71.25,184,
33,AND-STW,AND-STW,16,P4_27_30,Inch,55,97,95.00,71.25,184,
33,AND-STW,AND-STW,16,P4_30,Inch,55,98,95.00,71.25,184,
33,AND-STW,AND-STW,16,P6_613,Inch,55,96,95.00,71.25,184,
33,AND-STW,AND-STW,16,T4_30_27,Inch,55,92,95.00,71.25,184,
33,AND-STW,AND-STW,18,1,Inch,62,190,104.00,78,202,
33,AND-STW,AND-STW,18,001B,Inch,62,285,104.00,78,202,
33,AND-STW,AND-STW,18,2,Inch,62,190,104.00,78,202,
33,AND-STW,AND-STW,18,4,Inch,62,189,104.00,78,202,
33,AND-STW,AND-STW,18,6,Inch,62,190,104.00,78,202,
33,AND-STW,AND-STW,18,10,Inch,62,97,104.00,78,202,
33,AND-STW,AND-STW,18,14,Inch,67,96,114.00,85.5,222,
33,AND-STW,AND-STW,18,16,Inch,67,89,114.00,85.5,222,
33,AND-STW,AND-STW,18,18,Inch,82,87,144.00,108,282,
33,AND-STW,AND-STW,18,22,Inch,82,288,144.00,108,282,
33,AND-STW,AND-STW,18,27,Inch,67,149,114.00,108,222,
33,AND-STW,AND-STW,18,30,Inch,62,97,104.00,78,202,
33,AND-STW,AND-STW,18,32A,Inch,62,92,104.00,78,202,
33,AND-STW,AND-STW,18,33,Inch,62,97,104.00,78,202,
33,AND-STW,AND-STW,18,35A,Inch,67,91,114.00,85.5,222,
33,AND-STW,AND-STW,18,613,Inch,82,273,144.00,108,282,
33,AND-STW,AND-STW,18,LT_SILVER,Inch,82,174,144.00,108,282,
33,AND-STW,AND-STW,18,P10_16,Inch,67,286,114.00,85.5,284,
33,AND-STW,AND-STW,18,P14_24,Inch,67,85,114.00,85.5,284,
33,AND-STW,AND-STW,18,P16_24,Inch,67,184,114.00,85.5,284,
33,AND-STW,AND-STW,18,P18_22,Inch,82,280,144.00,108,282,
33,AND-STW,AND-STW,18,P2_27,Inch,67,97,114.00,85.5,222,
33,AND-STW,AND-STW,18,P27_613,Inch,67,282,114.00,85.5,222,
33,AND-STW,AND-STW,18,P4_24,Inch,67,190,114.00,85.5,222,
33,AND-STW,AND-STW,18,P4_27,Inch,67,93,114.00,85.5,222,
33,AND-STW,AND-STW,18,P4_27_30,Inch,67,192,114.00,85.5,222,
33,AND-STW,AND-STW,18,P4_30,Inch,67,200,114.00,85.5,222,
33,AND-STW,AND-STW,18,T4_30_27,Inch,67,130,114.00,85.5,222,
33,AND-STW,AND-STW,18,T6_27_613,Inch,82,181,144.00,108,282,
33,AND-STW,AND-STW,18,TT3_613,Inch,82,182,144.00,108,282,
33,AND-STW,AND-STW,20,1,Inch,74,200,125.00,93.75,242,
33,AND-STW,AND-STW,20,001B,Inch,74,299,125.00,93.75,242,
33,AND-STW,AND-STW,20,2,Inch,74,98,125.00,93.75,242,
33,AND-STW,AND-STW,20,4,Inch,74,98,125.00,93.75,242,
33,AND-STW,AND-STW,20,613,Inch,94,298,165.00,123.75,322,
33,AND-STW,AND-STW,20,613B,Inch,94,397,165.00,123.75,322,
33,AND-STW,AND-STW,20,P10_16,Inch,79,199,135.00,101.25,262,
33,AND-STW,AND-STW,20,P18_22,Inch,94,199,165.00,123.75,322,
33,AND-STW,AND-STW,22,1,Inch,83,98,140.00,105,272,
33,AND-STW,AND-STW,22,001B,Inch,83,97,140.00,105,272,
33,AND-STW,AND-STW,22,2,Inch,83,96,140.00,105,272,
33,AND-STW,AND-STW,22,4,Inch,83,96,140.00,105,272,
33,AND-STW,AND-STW,22,613,Inch,103,199,180.00,135,352,
33,AND-STW,AND-STW,22,613B,Inch,103,299,180.00,135,352,
33,AND-STW,AND-STW,22,P10_16,Inch,88,200,150.00,112.5,292,
33,AND-STW,AND-STW,22,P18_22,Inch,103,200,180.00,135,352,
33,AND-STW,AND-STW,24,1,Inch,89,100,151.00,113.25,292,
33,AND-STW,AND-STW,24,001B,Inch,89,150,151.00,113.25,292,
33,AND-STW,AND-STW,24,2,Inch,89,150,151.00,113.25,292,
33,AND-STW,AND-STW,24,4,Inch,89,100,151.00,113.25,292,
49,DIANA,DIANA,,1,Inch,103.00,46,175.00,87.5,340,
49,DIANA,DIANA,,1B,Inch,103.00,73,175.00,87.5,340,
49,DIANA,DIANA,,2,Inch,103.00,44,175.00,87.5,340,
49,DIANA,DIANA,,4,Inch,103.00,28,175.00,87.5,340,
49,DIANA,DIANA,,6,Inch,103.00,28,175.00,87.5,340,
49,DIANA,DIANA,,F10_16,Inch,103.00,22,175.00,87.5,340,
49,DIANA,DIANA,,F14_24,Inch,103.00,24,175.00,87.5,340,
49,DIANA,DIANA,,F1B_30,Inch,103.00,25,175.00,87.5,340,
49,DIANA,DIANA,,F1B_BURG,Inch,103.00,25,175.00,87.5,340,
49,DIANA,DIANA,,F27_613,Inch,103.00,23,175.00,87.5,340,
49,DIANA,DIANA,,F4_27,Inch,103.00,24,175.00,87.5,340,
49,DIANA,DIANA,,F4_30,Inch,103.00,24,175.00,87.5,340,
49,DIANA,DIANA,,F6_27,Inch,103.00,23,175.00,87.5,340,
51,LUCY,LUCY,,1,Inch,79.00,38,134.00,67,262,
51,LUCY,LUCY,,1B,Inch,79.00,61,134.00,67,262,
51,LUCY,LUCY,,2,Inch,79.00,42,134.00,67,262,
51,LUCY,LUCY,,4,Inch,79.00,24,134.00,67,262,
51,LUCY,LUCY,,6,Inch,79.00,29,134.00,67,262,
51,LUCY,LUCY,,F10_16,Inch,79.00,24,134.00,67,0,
51,LUCY,LUCY,,F14_24,Inch,79.00,25,134.00,67,0,
51,LUCY,LUCY,,F1B_30,Inch,79.00,19,134.00,67,0,
51,LUCY,LUCY,,F1B_BURG,Inch,79.00,23,134.00,67,0,
51,LUCY,LUCY,,F27_613,Inch,79.00,24,134.00,67,0,
51,LUCY,LUCY,,F4_27,Inch,79.00,23,134.00,67,0,
51,LUCY,LUCY,,F4_30,Inch,79.00,19,134.00,67,0,
51,LUCY,LUCY,,F6_27,Inch,79.00,24,134.00,67,0,
52,BETH,BETH,,1,Inch,17.00,98,28.00,14,54,
52,BETH,BETH,,1B,Inch,17.00,146,28.00,14,54,
52,BETH,BETH,,2,Inch,17.00,98,28.00,14,54,
52,BETH,BETH,,280,Inch,17.00,47,28.00,14,54,
52,BETH,BETH,,34,Inch,17.00,22,28.00,14,54,
52,BETH,BETH,,4,Inch,17.00,22,28.00,14,54,
52,BETH,BETH,,44,Inch,17.00,20,28.00,14,54,
52,BETH,BETH,,51,Inch,17.00,22,28.00,14,54,
52,BETH,BETH,,F1B_30,Inch,17.00,27,28.00,14,54,
53,VIVIAN,VIVIAN,,1,Inch,17.00,98,28.00,14,54,
53,VIVIAN,VIVIAN,,1B,Inch,17.00,148,28.00,14,54,
53,VIVIAN,VIVIAN,,2,Inch,17.00,98,28.00,14,54,
53,VIVIAN,VIVIAN,,280,Inch,17.00,46,28.00,14,54,
53,VIVIAN,VIVIAN,,34,Inch,17.00,22,28.00,14,54,
53,VIVIAN,VIVIAN,,4,Inch,17.00,21,28.00,14,54,
53,VIVIAN,VIVIAN,,44,Inch,17.00,22,28.00,14,54,
53,VIVIAN,VIVIAN,,51,Inch,17.00,22,28.00,14,54,
53,VIVIAN,VIVIAN,,F1B_30,Inch,17.00,24,28.00,14,54,
1021,ONNA,ONNA,,1,Inch,21,20,28,18,42,
1021,ONNA,ONNA,,1B,Inch,21,20,28,18,42,
1021,ONNA,ONNA,,2,Inch,21,20,28,18,42,
1021,ONNA,ONNA,,4,Inch,21,20,28,18,42,
1021,ONNA,ONNA,,27,Inch,21,10,28,18,42,
1021,ONNA,ONNA,,30,Inch,21,10,28,18,42,
1021,ONNA,ONNA,,33,Inch,21,10,28,18,42,
1021,ONNA,ONNA,,F1B_30,Inch,21,10,28,18,42,
1021,ONNA,ONNA,,F4_27,Inch,21,10,28,18,42,
1021,ONNA,ONNA,,F4_30,Inch,21,10,28,18,42,
55,ISABELLA,ISABELLA,,1,Inch,21.00,107,35.00,17.5,51,
55,ISABELLA,ISABELLA,,001B,Inch,21.00,149,35.00,17.5,51,
55,ISABELLA,ISABELLA,,2,Inch,21.00,108,35.00,17.5,51,
55,ISABELLA,ISABELLA,,4,Inch,21.00,109,35.00,17.5,51,
55,ISABELLA,ISABELLA,,3T1B_30,Inch,24.00,42,41.00,20.5,60,
55,ISABELLA,ISABELLA,,3T5004,Inch,24.00,42,41.00,20.5,60,
55,ISABELLA,ISABELLA,,DX2216,Inch,21.00,43,35.00,20.5,51,
