ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,SALON,STOCK,MSRP,WHOLESALEPRICE,REGULARPRICE,AGENT
1003,MYANMAR-ST,MYANMAR-ST,10,Natural,Inch,26,99,40.59,22,52,30
1003,MYANMAR-ST,MYANMAR-ST,12,Natural,Inch,31.5,99,48.82,26.5,63,36
1003,MYANMAR-ST,MYANMAR-ST,14,Natural,Inch,37,148,57.65,31.5,74,42
1003,MYANMAR-ST,MYANMAR-ST,16,Natural,Inch,42.5,197,66.47,36,85,49
1003,MYANMAR-ST,MYANMAR-ST,18,Natural,Inch,47.5,199,74.71,40.5,95,54
1003,MYANMAR-ST,MYANMAR-ST,20,Natural,Inch,53,99,82.94,45,106,60
1003,MYANMAR-ST,MYANMAR-ST,22,Natural,Inch,58.5,99,91.76,50,117,67
1003,MYANMAR-ST,MYANMAR-ST,24,Natural,Inch,63.5,99,99.41,54,127,72
1003,MYANMAR-ST,MYANMAR-ST,26,Natural,Inch,69,99,108.24,58.5,138,79
1005,SHUNFA-NW,SHUNFA-NW ,10,Natural,Inch,45.5,49,70.59,38.5,90,52
1005,SHUNFA-NW,SHUNFA-NW ,12,Natural,Inch,52.5,49,81.76,45,105,60
1005,SHUNFA-NW,SHUNFA-NW ,14,Natural,Inch,58,49,90.59,49.5,115,66
1005,SHUNFA-NW,SHUNFA-NW ,16,Natural,Inch,65.5,49,101.76,55.5,130,74
1005,SHUNFA-NW,SHUNFA-NW ,18,Natural,Inch,85.5,49,133.53,73,170,97
1005,SHUNFA-NW,SHUNFA-NW ,20,Natural,Inch,89.5,49,139.41,76,178,101
1005,SHUNFA-NW,SHUNFA-NW ,22,Natural,Inch,97.5,49,151.76,83,194,110
1005,SHUNFA-NW,SHUNFA-NW ,24,Natural,Inch,11.5,49,173.53,94.5,222,126
1005,SHUNFA-NW,SHUNFA-NW ,26,Natural,Inch,120,49,187.65,102,239,136
1004,SHUNFA-BW,SHUNFA-BW ,10,Natural,Inch,45,49,71.18,38,91,52
1004,SHUNFA-BW,SHUNFA-BW ,12,Natural,Inch,52.5,49,82.94,44.5,105,60
1004,SHUNFA-BW,SHUNFA-BW ,14,Natural,Inch,57.5,49,91.18,49,116,66
1004,SHUNFA-BW,SHUNFA-BW ,16,Natural,Inch,65,49,102.94,55.5,131,75
1004,SHUNFA-BW,SHUNFA-BW ,18,Natural,Inch,85,49,134.12,72.5,171,97
1004,SHUNFA-BW,SHUNFA-BW ,20,Natural,Inch,89,49,140,75.5,179,102
1004,SHUNFA-BW,SHUNFA-BW ,22,Natural,Inch,97,49,152.94,82.5,195,111
1004,SHUNFA-BW,SHUNFA-BW ,24,Natural,Inch,111,49,174.71,94,223,127
1004,SHUNFA-BW,SHUNFA-BW ,26,Natural,Inch,119.5,49,188.54,101.5,240,137
1000,MYANMAR-NW,MYANMAR-NW,10,Natural,Inch,26,49,40.59,22,52,30
1000,MYANMAR-NW,MYANMAR-NW,12,Natural,Inch,31.5,49,48.82,26.5,63,36
