ID,PRODUCT_CODE,sku,LENGTH,COLOR,type,PRICE,STOCK,MSRP,WHOLESALEPRICE,REGULARPRICE,AGENT_PRICE
1056,AALIYAH,AALIYAH,,1,,11,177,17.65,9.5,35.3,13
1056,AALIYAH,AALIYAH,,001B,,11,252,17.65,9.5,35.3,13
1056,AALIYAH,AALIYAH,,2,,11,108,17.65,9.5,35.3,13
1056,AALIYAH,AALIYAH,,4,,11,33,17.65,9.5,35.3,13
1056,AALIYAH,AALIYAH,,F1B_30,,11,33,17.65,9.5,35.3,13
1056,AALIYAH,AALIYAH,,F4_30,,11,33,17.65,9.5,35.3,13
1057,ASHANTI,ASHANTI,,1,,12,144,18.82,10.5,37.64,14
1057,ASHANTI,ASHANTI,,001B,,12,252,18.82,10.5,37.64,14
1057,ASHANTI,ASHANTI,,2,,12,108,18.82,10.5,37.64,14
1057,ASHANTI,ASHANTI,,4,,12,36,18.82,10.5,37.64,14
1057,ASHANTI,ASHANTI,,F1B_30,,12,33,18.82,10.5,37.64,14
1057,ASHANTI,ASHANTI,,F4_30,,12,33,18.82,10.5,37.64,14
1058,CATHERINE,CATHERINE,,1,,11,180,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,001B,,11,288,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,2,,11,144,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,4,,11,108,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,34,,11,36,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,44,,11,36,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,51,,11,36,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,280,,11,36,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,F1B_30,,11,108,17.65,9.5,35.3,13
1058,CATHERINE,CATHERINE,,F4_30,,11,108,17.65,9.5,35.3,13
1059,DELILAH,DELILAH,,1,,11.5,180,18.24,10,36.48,14
1059,DELILAH,DELILAH,,001B,,11.5,252,18.24,10,36.48,14
1059,DELILAH,DELILAH,,2,,11.5,108,18.24,10,36.48,14
1059,DELILAH,DELILAH,,4,,11.5,36,18.24,10,36.48,14
1059,DELILAH,DELILAH,,F1B_30,,11.5,36,18.24,10,36.48,14
1059,DELILAH,DELILAH,,F4_30,,11.5,36,18.24,10,36.48,14
1060,DESTINY,DESTINY,,1,,16.5,69,25.88,14,51.76,19
1060,DESTINY,DESTINY,,001B,,16.5,72,25.88,14,51.76,19
