ID,PRODUCT_CODE,SKU,LENGTH,COLOR,TYPE,PRICE,STOCK,MANUFACTUREPRICE,WHOLESALEPRICE,REGULARPRICE,AGENT_PRICE
1003,MYANMAR-ST,MYANMAR-ST,10,Natural,Inch,26,99,40.59,22,52,22
1003,MYANMAR-ST,MYANMAR-ST,12,Natural,Inch,31.5,99,48.82,26.5,63,26.5
1003,MYANMAR-ST,MYANMAR-ST,14,Natural,Inch,37,148,57.65,31.5,74,31.5
1003,MYANMAR-ST,MYANMAR-ST,16,Natural,Inch,42.5,197,66.47,36,85,36
1003,MYANMAR-ST,MYANMAR-ST,18,Natural,Inch,47.5,199,74.71,40.5,95,40.5
1003,MYANMAR-ST,MYANMAR-ST,20,Natural,Inch,53,99,82.94,45,106,45
1003,MYANMAR-ST,MYANMAR-ST,22,Natural,Inch,58.5,99,91.76,50,117,50
1003,MYANMAR-ST,MYANMAR-ST,24,Natural,Inch,63.5,99,99.41,54,127,54
1003,MYANMAR-ST,MYANMAR-ST,26,Natural,Inch,69,99,108.24,58.5,138,58.5
1005,SHUNFA-NW,SHUNFA-NW ,10,Natural,Inch,45.5,49,70.59,38.5,90,38.5
1005,SHUNFA-NW,SHUNFA-NW ,12,Natural,Inch,52.5,49,81.76,45,105,45
1005,SHUNFA-NW,SHUNFA-NW ,14,Natural,Inch,58,49,90.59,49.5,115,49.5
1005,SHUNFA-NW,SHUNFA-NW ,16,Natural,Inch,65.5,49,101.76,55.5,130,55.5
1005,SHUNFA-NW,SHUNFA-NW ,18,Natural,Inch,85.5,49,133.53,73,170,73
1005,SHUNFA-NW,SHUNFA-NW ,20,Natural,Inch,89.5,49,139.41,76,178,76
1005,SHUNFA-NW,SHUNFA-NW ,22,Natural,Inch,97.5,49,151.76,83,194,83
1005,SHUNFA-NW,SHUNFA-NW ,24,Natural,Inch,11.5,49,173.53,94.5,222,94.5
1005,SHUNFA-NW,SHUNFA-NW ,26,Natural,Inch,120,49,187.65,102,239,102
1004,SHUNFA-BW,SHUNFA-BW ,10,Natural,Inch,45,49,71.18,38,91,38
1004,SHUNFA-BW,SHUNFA-BW ,12,Natural,Inch,52.5,49,82.94,44.5,105,44.5
1004,SHUNFA-BW,SHUNFA-BW ,14,Natural,Inch,57.5,49,91.18,49,116,49
1004,SHUNFA-BW,SHUNFA-BW ,16,Natural,Inch,65,49,102.94,55.5,131,55.5
1004,SHUNFA-BW,SHUNFA-BW ,18,Natural,Inch,85,49,134.12,72.5,171,72.5
1004,SHUNFA-BW,SHUNFA-BW ,20,Natural,Inch,89,49,140,75.5,179,75.5
1004,SHUNFA-BW,SHUNFA-BW ,22,Natural,Inch,97,49,152.94,82.5,195,82.5
1004,SHUNFA-BW,SHUNFA-BW ,24,Natural,Inch,111,49,174.71,94,223,94
1004,SHUNFA-BW,SHUNFA-BW ,26,Natural,Inch,119.5,49,188.54,101.5,240,101.5
1000,MYANMAR-NW,MYANMAR-NW,10,Natural,Inch,26,49,40.59,22,52,22
1000,MYANMAR-NW,MYANMAR-NW,12,Natural,Inch,31.5,49,48.82,26.5,63,26.5
1000,MYANMAR-NW,MYANMAR-NW,14,Natural,Inch,37,99,57.65,31.5,74,31.5
1000,MYANMAR-NW,MYANMAR-NW,16,Natural,Inch,42.5,99,66.47,36,85,36
1000,MYANMAR-NW,MYANMAR-NW,18,Natural,Inch,47.5,96,74.71,40.5,95,40.5
1000,MYANMAR-NW,MYANMAR-NW,20,Natural,Inch,53,47,82.94,45,106,45
1000,MYANMAR-NW,MYANMAR-NW,22,Natural,Inch,58.5,47,91.76,50,117,50
1000,MYANMAR-NW,MYANMAR-NW,24,Natural,Inch,63.5,49,99.41,54,127,54
1000,MYANMAR-NW,MYANMAR-NW,26,Natural,Inch,69,49,108.24,58.5,138,58.5
1053,TRINA,TRINA,,1,Inch,18,20,28.24,15.5,36,15.5
1053,TRINA,TRINA,,001B,Inch,18,20,28.24,15.5,36,15.5
1053,TRINA,TRINA,,2,Inch,18,20,28.24,15.5,36,15.5
1053,TRINA,TRINA,,4,Inch,18,20,28.24,15.5,36,15.5
1053,TRINA,TRINA,,27,Inch,18,9,28.24,15.5,36,15.5
1053,TRINA,TRINA,,30,Inch,18,10,28.24,15.5,36,15.5
1053,TRINA,TRINA,,33,Inch,18,10,28.24,15.5,36,15.5
1053,TRINA,TRINA,,F1B_30,Inch,18,10,28.24,15.5,36,15.5
1053,TRINA,TRINA,,F4_27,Inch,18,10,28.24,15.5,36,15.5
1053,TRINA,TRINA,,F4_30,Inch,18,10,28.24,15.5,36,15.5
1023,STACY,STACY,,1,Inch,80,19,125.88,68,160,68
1023,STACY,STACY,,1B,Inch,80,20,125.88,68,160,68
1023,STACY,STACY,,2,Inch,80,19,125.88,68,160,68
1023,STACY,STACY,,4,Inch,80,20,125.88,68,160,68
1023,STACY,STACY,,27,Inch,80,10,125.88,68,160,68
1023,STACY,STACY,,30,Inch,80,10,125.88,68,160,68
1023,STACY,STACY,,33,Inch,80,10,125.88,68,160,68
1023,STACY,STACY,,F1B_30,Inch,80,10,125.88,68,160,68
1023,STACY,STACY,,F4_27,Inch,80,10,125.88,68,160,68
